,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Krasnodar,97,1.067620129,0.031192,0,0.125,,,,,,0.5,,,,,,,,,
Lazio,45,14.04616089,0.499941,0.5,0.5,,,2,,,2,,,,,,,,,
Legia Warsaw,59,5.954192893,0.18744,0,0.75,,,,,,,,,,3,,,,,
Leicester City,98,1.067519365,0.031189,0,0.125,,,,,,,,,,0.5,,,,,
Lens,72,3.105586218,0.093688,0.125,0,,,0.5,,,,,,,,,,,,
Leverkusen,16,39.46965613,2.124937,2.625,0.625,2,2,[UEL],0.5,,,0.5,,,2,0.5,2,2,,2
Lille,36,19.99864495,0.781186,1,0.125,,2,,,2,,0.5,,,,,,,0.5,0.5
Lokomotiv Moscow,73,3.105491211,0.093685,0,0.375,,,,,,0.5,0.5,0.5,,,,,,,
Ludogorets Razgrad,99,1.067351425,0.031184,0,0.125,,,,,,,,,,0.5,,0.5,,,
Lyon,37,19.99858661,0.781183,0,3.125,,,,,,,5,2,,0.5,0.5,,,,2
Maccabi Haifa,74,3.105396204,0.093682,0.125,0,,,,0.5,,,,,,,,,,,
Maccabi Tel Aviv,111,0.001385542193,-6.9e-05,0,0,,,,,,,,,,,0.5,,,,
Malaga,112,0.001350904313,-7e-05,0,0,,,,,,,,,,,,,,3,
Malmo FF,75,3.105301197,0.093679,0.125,0,,,,,0.5,,,,,,0.5,0.5,,,
Maribor,100,1.067149895,0.031178,0,0.125,,,,,,,,,0.5,,,0.5,,,
Marseille,49,11.03190454,0.374927,0.375,0.375,0.5,,[UEL],0.5,,0.5,,,,,,,0.5,,3
Midtjylland,101,1.067082718,0.031176,0,0.125,,,,,,0.5,,,,,,,,,
Monaco,38,19.38534282,0.749925,0.5,1.5,1,1,,,,,,0.5,0.5,5,,3,,,
Montpellier,113,0.00114307631,-7.6e-05,0,0,,,,,,,,,,,,,,0.5,
Napoli,24,29.50452865,1.343673,1.375,1.25,0.5,,2,3,,,2,0.5,0.5,2,,,0.5,,2
Newcastle United,47,13.31646312,0.468672,0.625,0,2,,0.5,,,,,,,,,,,,
Nordsjaelland,114,0.00103916184,-7.9e-05,0,0,,,,,,,,,,,,,,0.5,
Nottingham Forest,76,3.105016174,0.09367,0.125,0,[UEL],,,,,,,,,,,,,,
Olympiacos,35,21.1928711,0.843669,1,0.375,1,,UECL*,,,0.5,0.5,,0.5,,0.5,0.5,2,0.5,0.5
Otelul Galati,115,0.000935247059,-8.2e-05,0,0,,,,,,,,,,,,,,,0.5
Pafos,77,3.104921166,0.093667,0.125,0,0.5,,,,,,,,,,,,,,
Porto,22,31.30425275,1.468666,1.125,2.5,,,2,2,0.5,3,,3,2,2,0.5,3,0.5,2,0.5
PSV Eindhoven,33,22.34752968,0.906165,1.125,0.25,0.5,2,2,,,,,0.5,,0.5,2,,,,
Qarabag,55,6.853188601,0.218664,0.25,0.125,1,,,,,,,,0.5,,,,,,
Rangers,78,3.104794488,0.093663,0.125,0,,,,0.5,[UEL],,,,,,,,,,
Rayo Vallecano,79,3.104762819,0.093662,0.125,0,[UECL],,,,,,,,,,,,,,
RB Leipzig,15,41.81299811,2.343661,2.5,1.875,,0.5,2,2,0.5,2,5,,0.5,,,,,,
Real Betis,80,3.10469948,0.09366,0.125,0,,[UECL],,,,,,,,,,,,,
Real Sociedad,50,11.03145109,0.374909,0.5,0,,,2,,,,,,,,,,0.5,,
Red Bull Salzburg,31,24.54744006,1.031158,0.875,1.5,,0.5,0.5,0.5,2,0.5,0.5,,,,,,,,
Red Star Belgrade,54,7.729968101,0.249907,0.25,0.25,,0.5,0.5,,,,0.5,0.5,,,,,,,
Rennes,102,1.066410943,0.031156,0,0.125,,,,,,0.5,,,,,,,,,
Roma,13,42.77076023,2.437405,2.25,3,,,[UEL],[UEL],UECL*,[UEL],,2,5,,2,0.5,,,
Rostov,103,1.066343765,0.031154,0,0.125,,,,,,,,,,0.5,,,,,
Schalke,64,4.080285217,0.124903,0,0.5,,,,,,,,2,,,,2,2,2,
Sevilla,19,36.58100258,1.874902,1.5,3,,,0.5,UEL*,0.5,2,UEL*,,3,2,UEL*,UEL*,,,
Shakhtar Donetsk,34,22.34727528,0.906151,0.5,2.125,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,,0.5,2,0.5,2,0.5
Sheriff Tiraspol,81,3.104382782,0.09365,0.125,0,,,,,0.5,,,,,,,,,,
Slavia Prague,65,4.080162056,0.124899,0.125,0.125,0.5,,,,,,0.5,,,,,,,,
Slovan Bratislava,82,3.104319442,0.093648,0.125,0,,0.5,,,,,,,,,,,,,
Sparta Prague,83,3.104287772,0.093647,0.125,0,,0.5,,,,,,,,,,,,,
Spartak Moscow,104,1.066075051,0.031146,0,0.125,,,,,,,,,0.5,,,,,0.5,
Sporting CP,27,28.56786357,1.281145,1.625,0.25,3,1,,0.5,2,,,,0.5,0.5,,0.5,,,
Steaua Bucuresti,116,0.0001039175869,-0.000106,0,0,,,,,,,,,,,,,0.5,,
Sturm Graz,84,3.104161092,0.093643,0.125,0,,0.5,,,,,,,,,,,,,
Stuttgart,85,3.104129422,0.093642,0.125,0,,0.5,,,,,,,,,,,,,
Trabzonspor,117,0,-0.000109,0,0,,,,,,,,,,,,,,,0.5
Union Berlin,86,3.104066081,0.09364,0.125,0,,,0.5,,,,,,,,,,,,
Union Saint-Gilloise,87,3.104034411,0.093639,0.125,0,0.5,,,,,,,,,,,,,,
Valencia,48,13.31566126,0.468638,0,1.875,,,,,,,2,0.5,,,0.5,,,2,0.5
Viktoria Plzen,66,4.079792572,0.124887,0.125,0.125,,,,0.5,,,,0.5,,,,,0.5,,0.5
Villarreal,25,29.50398181,1.343636,1.375,1.25,0.5,,,,5,UEL*,,,,,,,,,0.5
West Ham United,39,17.47731509,0.656135,0.875,0,,,,UECL*,[UEL],,,,,,,,,,
Wolfsburg,88,3.10387606,0.093634,0.125,0,,,,,0.5,,,,,,3,,,,
Young Boys,51,9.419368163,0.312383,0.375,0.125,,0.5,0.5,,0.5,,,0.5,,,,,,,
Zenit St. Petersburg,63,5.028725959,0.156132,0.125,0.25,,,,,0.5,0.5,0.5,,,,2,0.5,2,0.5,2
,,,,,,,,,,,,,,,,,,,,
Europa Winner,5,,,,,Aston Villa,Tottenham Hotspur,Atalanta,Sevilla,Eintracht Frankfurt,Villarreal,Sevilla,Chelsea,Atletico Madrid,Manchester United,Sevilla,Sevilla,,,
Europa Final,1,,,,,Freiburg,Manchester United,Leverkusen,Roma,Eintracht Frankfurt,Manchester United,Inter Milan,Arsenal,Marseille,Ajax,Liverpool,Dnipro,,,
Europa Semis,0.5,,,,,Nottingham Forest,Bodo/Glimt,Marseille,Juventus,West Ham United,Arsenal,Manchester United,Eintracht Frankfurt,Arsenal,Celta Vigo,Shakhtar Donetsk,Fiorentina,,,
Europa Semis,0.5,,,,,Braga,Athletic Bilbao,Roma,Leverkusen,RB Leipzig,Roma,Shakhtar Donetsk,Valencia,Red Bull Salzburg,Lyon,Villarreal,Napoli,,,
Conference Winner,3,,,,,Crystal Palace,Chelsea,Olympiacos,West Ham United,Roma,,,,,,,,,,
Conference Final,0.5,,,,,Rayo Vallecano,Real Betis,Fiorentina,Fiorentina,Feyenoord,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UCL Winners,,,,,,PARIS SG,PARIS SG,REAL MADRID,MAN CITY,REAL MADRID,CHELSEA,BAYERN MUNICH,LIVERPOOL,REAL MADRID,REAL MADRID,REAL MADRID,BARCELONA,REAL MADRID,BAYERN MUNICH,CHELSEA
UCL Losers,,,,,,ARS,INT,BVB,INT,LIV,CITY,PSG,THFC,LIV,JUVE,ATL,JUVE,ATL,BVB,BAY
Europa League,,,,,,ASTON VILLA,TOTTENHAM,ATALANTA,SEVILLA,EINTRACHT,VILLARREAL,SEVILLA,CHELSEA,ATLETI,UNITED,SEVILLA,SEVILLA,SEVILLA,CHELSEA,ATLETI
UEL Losers,,,,,,FRE,UTD,LEV,ROMA,RANG,UTD,INT,ARS,MAR,AJAX,LIV,DNI,BEN,BEN,BIL
Conference League,,,,,,CRYSTAL PALACE,CHELSEA,OLYMPIACOS,WEST HAM,ROMA,,,,,,,,,,
UECL Losers,,,,,,RAYO,BET,FIOR,FIOR,FEY,,,,,,,,,,
Spain,,,,,,BAR,BAR,MAD,BAR,MAD,ATL,MAD,BAR,BAR,MAD,BAR,BAR,ATL,BAR,MAD
Germany,,,,,,BAY,BAY,LEV,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BVB
Italy,,,,,,INT,NAP,INT,NAP,MIL,INT,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE
France,,,,,,PSG,PSG,PSG,PSG,PSG,LIL,PSG,PSG,PSG,MON,PSG,PSG,PSG,PSG,MONT
Club World Cup,,,,,,,CHE,MAD,CITY,MAD,CHE,BAY,LIV,MAD,MAD,MAD,BAR,MAD,BAY,COR
